Status,Severity,Title,Type,File,Description,Suggested fix
open,critical,Focused elements keep visible focus halo on mouse clicks too,accessibility,themes/modern/modern.css,The 24.0 Accessibility block applies a colored focus box-shadow to all :focus states — including mouse clicks — instead of restricting the styling to keyboard-driven :focus-visible. Most visibly, .button:focus, input[type=""checkbox""]:focus, input[type=""radio""]:focus and the global a:focus rule add a persistent halo whenever the user clicks with the mouse, which both looks ugly and breaks WP's accessibility conventions.,Replace :focus with :focus-visible (with a fallback :focus under @supports selector(:focus-visible)) so the halo only appears for keyboard navigation.
open,critical,"Screen-reader-only label is shown visually in the search-box override",accessibility,themes/modern/modern.css,"Inside .wp-admin-theme-modern p.search-box the plugin resets the universal .screen-reader-text utility (position: static, clip: auto, clip-path: none, overflow: visible). The label ""Search …"" leaks onto the page for every keyboard and screen-reader user.""",Stop overriding .screen-reader-text globally in the search-box. Use a regular <label> or wrap the input's label text inside a separate .wpat-search-label element that can be styled without touching the SR utility class.
open,major,Use of :focus instead of :focus-visible for form controls,accessibility,themes/modern/modern.css,"Lines 788-795 (inputs), 834-838 (checkbox/radio), 895-898 (.button), 913-915 (.button-primary), 1438-1440 (.button:focus) all set a focus ring on plain :focus. After clicking anywhere with the mouse, the visited control keeps the ring until another element is clicked, which confuses keyboard users who lose the visual cue of where focus actually is.",Limit focus styling to :focus-visible so the halo only appears during keyboard navigation; keep the same visual treatment otherwise.
open,major,Wide left margin on #wpcontent will hide content on screens ≤ 960 px,layout,themes/modern/modern.css,"#wpcontent gets margin-left: 200px + padding-left: 44px = 244px of horizontal offset. On 960px viewports and below, the responsive rules only shrink the .wrap margin — they do not collapse #wpcontent's offset, which can push post-list tables off-screen and reproduce WP 4.x-style overflow on laptops with sidebars or vertical browser chrome.",At ≤ 960px (and definitely at the WP 782px breakpoint) drop margin-left to 0 (or 36px in the folded state) and let the responsive admin menu overlay the content instead of forcing it right.
open,major,Subsubsub links render incorrectly in RTL,layout,themes/modern/modern.css,"The RTL block sets the subsubsub to gap: 24px but the LTR version uses display: flex without gap, producing inconsistent inline spacing. In RTL the tab underline (a.current::after) keeps left: 0; right: 0 instead of being mirrored.",Always set display: flex + gap on .wrap .subsubsub so LTR and RTL match, then mirror the underline for RTL using logical properties (inset-inline-start / inset-inline-end) or generate them via transform: scaleX(-1) inside .rtl.
open,major,Modern sidebar is 40 px wider than every other WP admin,layout,themes/modern/modern.css,"#adminmenu is set to width: 200px while core 7.x ships 160px and the .folded state is 36px. Combined with margin-left: 200px on #wpcontent, the layout visibly shifts compared to core / enhanced when the theme is toggled.",Match core by using --wp-admin-menu-width: 160px (folded 36px) and reference that var in both #adminmenu and #wpcontent so toggling themes is not a layout jump.
open,major,Suspended menu background on :hover creates flicker,interaction,themes/modern/modern.css,"#adminmenuwrap is var(--wp-admin-theme-surface) (white) and on :hover and :focus of top-level items the background goes to var(--wp-admin-theme-color-bg) which is rgba(56,88,233,0.08) — but the wrapper background flashes between white and tint whenever the cursor crosses item gaps.","Use a single background-color (var(--wp-admin-theme-surface)) and render the hover tint as a per-item inset box-shadow or as a transparent-to-tint transition on the <a> itself; do not change #adminmenuwrap or #adminmenuback on hover."
open,minor,Duplicate rule for the folded admin menu,design,themes/modern/modern.css,"Lines 466-471 (.folded #adminmenuback, #adminmenuwrap, #adminmenu, #adminmenu li.menu-top { width: 36px; }) repeat exactly the rule defined on lines 37-42 of themes/enhanced/admin-menu.css and 461-465 of modern.css.",Consolidate to a single declaration per selector group and reduce duplication by using a class-token selector shared between LTR and RTL branches.
open,minor,Invalid #wpadminbar #wpadminbar selector chain,design,themes/modern/modern.css,"Lines 137-145 contain selectors such as #wpadminbar #wpadminbar a:hover .ab-icon:before. The element with id=""wpadminbar"" never exists inside itself, so these rules match nothing. The equivalent styling is already covered by the #wpadminbar a:hover and #wpadminbar > #wp-toolbar rules present in the file.",Drop the second #wpadminbar qualifier from all rules in that block; rely on descendant selectors and the universal :hover / :focus rules that already work.
open,minor,Inline-style background-color on theme preview tiles,design,wp-admin-themes.php,"Each color preset renders style=""background-color: #xxxxxx"" directly in the markup. With a future high-contrast mode or custom color scheme, the inline color may clash with the focus ring (the buttons themselves are tiny swatches and have no visible focus indicator of their own).",Add an explicit outline-offset + outline-color token (var(--wp-admin-theme-color)) on .wpat-color-preset:focus-visible and replace the inline style with a CSS custom property (--wpat-preset: #xxxxxx) so the value lives in one place.
